epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,816.33,0.91249,1.62249,1.00901,1.09179,0.86906,0.76989,0.82768,0.58664,0.89049,0.78431,0.83593,0.60101,1.06362,1.51554,0.95034,0.9493,0.00055357,0.00055357,0.00055357
2,1600.97,0.89697,1.3639,0.8103,1.07822,0.81367,0.75992,0.77951,0.58847,0.82455,0.76996,0.79494,0.58148,0.99231,1.38974,0.95922,0.94949,0.00108727,0.00108727,0.00108727
3,2385.11,0.8684,1.34097,0.77695,1.05408,0.92887,0.64902,0.81928,0.57906,0.93321,0.66175,0.83651,0.61576,0.9678,1.2297,1.10028,0.87251,0.00159897,0.00159897,0.00159897
4,3168.59,0.82876,1.23918,0.72889,1.04389,0.82979,0.79401,0.82431,0.62956,0.82929,0.79356,0.82209,0.61015,0.91129,1.32345,0.86502,0.90307,0.00156798,0.00156798,0.00156798
5,3950.6,0.81439,1.23376,0.68697,1.0272,0.86893,0.80511,0.83729,0.61602,0.88237,0.81319,0.84594,0.62243,0.9727,1.25426,0.80227,0.88528,0.00153497,0.00153497,0.00153497
6,4729.97,0.7628,1.18995,0.64074,1.01228,0.90366,0.80851,0.85094,0.65898,0.91863,0.81657,0.86252,0.66355,0.88601,1.22141,0.92391,0.82978,0.00150197,0.00150197,0.00150197
7,5509.95,0.73921,1.13188,0.61659,1.00499,0.87182,0.81187,0.86943,0.66909,0.87888,0.81754,0.87606,0.68518,0.84686,1.15842,0.71943,0.82156,0.00146896,0.00146896,0.00146896
8,6289.88,0.71523,1.0813,0.59078,0.99782,0.88203,0.83429,0.86972,0.67079,0.89495,0.83986,0.881,0.68791,0.84774,1.15584,0.70591,0.81166,0.00143595,0.00143595,0.00143595
9,7066.81,0.69341,1.08295,0.5736,0.98576,0.87182,0.83312,0.88686,0.67564,0.91058,0.82964,0.8886,0.69004,0.82269,1.13395,0.67723,0.7937,0.00140295,0.00140295,0.00140295
10,7844.44,0.67542,1.07857,0.55401,0.9716,0.7668,0.79064,0.78467,0.63154,0.75137,0.77533,0.77336,0.60674,0.79851,1.69754,0.81621,0.80297,0.00136994,0.00136994,0.00136994
